ServiceApprovalNumber,Provider Approval Number,ServiceType,ServiceName,ProviderLegalName,ServiceAddress,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions on Approval,NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,Website,Age Range,Fees,Opening Hours,Food Provided,Disposable Nappies,Cloth Nappies,Air conditioning,Bus service,Online waitlist,Waitlist Fee,Waitlist refundable,Online enrollment,Security Access,Additional Activities?,Additional Activities,Excursions,Guest Speakers,Outdoor Play Area,Amount of Land,Real Grass,Technology?,Technology,Sibling Priority,Vacancies,Languages?,Languages,Vaccinations Compulsory
SE-00000504,PR-00000431,"Child care, OSHC",Sesame Lane Child Care Centre - Rothwell,Sesame Lane Pty Ltd,2 Linthaven Drive  ,ROTHWELL,QLD,4022,07 3204 7400,3204 7065,rothwell@sesamelane.com.au, This service is approved to continue to use and educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,74,1/25/10,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://sesamelane.com.au/rothwell,6 weeks -  12 years,"""6 weeks - 2 years: $79.00, 2 - 5 years: $75.00, 6 - 12 years BSC: $19.00, 6 - 12 years ASC: $24.00, 6 - 12 years VC: $64.00""",6:30am - 6:30pm,T,F,F,T,T,F,,,,,,,,,,,,,,,,,,
SE-00000750,PR-00000270,Child care,Lady Ramsay Early Learning and Education Centre,Royal Brisbane and Women's Hospital Metro North Health Service District,Bramston Terrace  ,HERSTON,QLD,4029,07 3636 1844,07 3636 5689,Leah_Mitchell@health.qld.gov.au, This service is approved to provide education and care to children from birth up to and including over preschool age including school children. This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017.,78,1/1/11,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,,6 weeks - 35 months,,,F,F,F,F,,F,,,,,,,,,,,,,,,,,,
SE-40000256,PR-00006559,OSHC,Helping Hands Windsor,Helping Hands Network Foundation Ltd,Windsor State School  Harris St,WINDSOR,QLD,4030,0458 009 761,,windsor@helpinghandsnetwork.com.au, This service is approved to provide education to children from over preschool age including school children.,139,12/17/12,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,https://windsorss.eq.edu.au/Facilities/Outofschoolhourscare/Pages/Outofschoolhourscare.aspx,5 - 12 years,,"""BSC: 6:00 - 8:50am, ASC: 3:00 - 6:30pm, VC: 6:00am - 6:00pm""",T,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00001132,PR-00000702,OSHC,Holy Cross Outside School Hours Care,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services,40 Morris Street ,WOOLOOWIN,QLD,4030,07 3857 2443,07 3357 9532,wooloowinoshc@bne.centacare.net.au, This service is approved to provide education and care to children from over preschool age including school children.,70,2/17/09,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.hcpswooloowin.qld.edu.au/parents/Pages/OSHC.aspx,5 - 12 years,"""BSC: $11.00 - $13.00, ASC: $19.00 - $21.00, VC: $40.00 - $43.00""","""BSC"" 6:45 - 8:45am, ASC: 2:45 - 6:00pm, VC: 7:00am - 6:00pm""",T,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00000455,PR-00000729,"Child care, OSHC",Kedron Park Road Child & Dev Educare Centre-Precious People,Lead Childcare Pty Ltd ATF The J R Trust,60 Kedron Park Road ,WOOLOOWIN,QLD,4030,07 3857 8122,07 3857 8864,kedronparkroad@leadchildcare.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,8/31/11,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.leadchildcare.com.au/~lead/about-my-nearest-centre/kedron-park-road/,6 weeks -  12 years,"""6 weeks - 15 months: $86.00, 15 months - 2 years: $83.00, 2 - 5 years: $80.00",6:30am - 6:30pm,T,T,F,T,,F,,,,,,,,,,,,,,,,,,
SE-00001408,PR-00000052,School hours care,Lutwyche Windsor Kindergarten & Pre School,Lutwyche Windsor Kindergarten & Pre School Association Inc,14 Lucas Street ,LUTWYCHE,QLD,4030,07 3857 2430,07 3857 2430,lwkinder@tpg.com.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,25,8/12/10,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.candk.asn.au/lutwychewindsor,4 - 5 years,"""4 - 5 years: $25.00 per day + $25.00 per term excursion levy + $11.00 waitlist fee + $75.00 enrolment holding fee + $22.00 membership fee + $150 volunteer levy (refundable)""",8:25am - 2:35pm,F,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00001894,PR-00000838,Child care,Tadpoles Early Learning Centres Lutwyche,Bhl Childcare Limited,112 Chalk Street ,LUTWYCHE,QLD,4030,07 3357 2922,07 3325 2366,lutwyche@tadpoles.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,59,3/20/09,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://www.tadpoles.com.au/our-locations/tadpoles-lutwyche.html,13 months - 5 years,"""13 - 35 months: $82.50, 36 months - 5 years: $79.00""",6:30am - 6:30pm,T,T,F,T,F,F,,,,,,,,,,,,,,,,,,
SE-40000658,PR-00008124,School hours care,The Community Place Limited Hours Childcare Service,The Community Place Inc,84 Kedron Park Rd ,WOOLOOWIN,QLD,4030,07 3357 6256,07 38571953,childcare@thecommunityplace.com.au, This service is approved to provide education and care to children from 15 months up to and including over preschool age not including school children.,22,1/1/13,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,,4 - 5 years,"""4 - 5 years: $27.00""",,,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00001881,PR-00000828,Child care,Three Peas Creche,Three Peas Creche Pty Ltd,77 Nelson Street ,WOOLOOWIN,QLD,4030,07 3357 5757,,nelsonst@bigpond.com.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including over preschool age not including school children.,29,12/23/08,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,,6 weeks - 5 years,"""6 weeks - 5 years: $90.00""",7:00am - 6:00pm,T,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00000103,PR-00000702,Child care,Windsor Neighbourhood Child Care Centre,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services,17 Bonython Street ,WINDSOR,QLD,4030,07 3857 1288,07 3857 1211,windsorldc@bne.centacare.net.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,54,7/1/11,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.centacarebrisbane.net.au/content.php/long-day-care,6 weeks - 5 years,"""6 weeks - 2 years: $80.30, 2 - 3 years: $78.80, 3 - 5 years: $73.80""",7:30am to 5:45pm,T,T,F,,,F,,,,,,,,,,,,,,,,,,
SE-40000389,PR-00000681,OSHC,Windsor School Age Care Centre,Windsor School Age Care Centre Inc,12 Bonython Street ,WINDSOR,QLD,4030,3357 9848,,wsaccinc@bigpond.com.au, This service is approved to provide education and care to children from over preschool age including school children.,170,1/29/13,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.wsacc.org.au/,5 - 12 years,"""BSC: $8.50 - $9.50, ASC: $15.00 - $17.00, VC: $35.00 - $40.00""","""BSC: 6:00 - 8:50am, ASC: 3:00 - 6:30pm, VC: 6:00am - 6:00pm""",T,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00000956,PR-00000273,OSHC,Wooloowin School's Out,Wooloowin State School P & C Association,Wooloowin State Primary School  663 Lutwyche Road,WOOLOOWIN,QLD,4030,07 3357 2020,07 3622 1700,wssschoolsout@gmail.com, This service is approved to provide education and care to children from over preschool age including school children.,80,8/28/11,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,https://wooloowinss.eq.edu.au/Facilities/Outofschoolhourscare/Pages/Outofschoolhourscare.aspx,5 - 12 years,"""BSC: $13.00, ASC: $18.00, VC: $40.00""","""BSC: 7:00 - 9:00am, ASC: 3:00 - 6:00pm, VC: 7:00am - 6:00pm""",T,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00000633,PR-00001129,Child care,Goodstart Early Learning Kedron,Goodstart Early Learning Ltd,7 Ninth Avenue  ,KEDRON,QLD,4031,07 3376 1173,07 3359 3777,hce@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to proved education and care to children from birth up to and including school children.,75,11/29/11,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.goodstart.org.au/centres/jindalee/overview,6 weeks -  5 years,"""6 weeks - 12 months: $93.70, 13 - 24 months: $92.10, 25 - 35 months: $85.90, 36 months - 5 years: $80.70""",6:30am - 6:00pm,T,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00001389,PR-00000020,School hours care,Kedron Heights Pre School and Kindergarten,Kedron Heights Preschool & Kindergarten Association Inc,107 Kitchener Road  ,KEDRON,QLD,4031,07 3359 5014,07 3359 8724,kedronheightskindy@gmail.com, This service is approved to provide education and care to children from 36 months and including over preschool age not including school children.,25,3/17/11,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.candk.asn.au/kedronheights,4 - 5 years,"""4 - 5 years: $28.00 per day + $100 security deposit (refundable) + $70 confirmation fee + $30 association fee""",8:45am - 2:45pm,F,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00001035,PR-00000702,OSHC,Little Flower School Age Care,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,C/- St Anthonys School  Turner Road,KEDRON,QLD,4031,0419 732 143,,kedronoshc@bne.centacare.net.au, This service is approved to provide education and care to children from over preschool age including school children.,130,7/1/11,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://stanthonyskedron.qld.edu.au/for-parents/little-flowers-oshc/,5 - 12 years,"""BSC: $8.00, ASC: $16.50, VC: $36.00""","""BSC: 7:00 - 8:30am, ASC: 2:45 - 6:00pm, VC: 7:00am - 6:00pm""",T,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00001864,PR-00000702,After school care,Little Flower Senior Outside School Hours Care,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,80 Turner Road  ,KEDRON,QLD,4031,0477 999 220,07 3857 1389,paduaoshc@bne.centacare.net.au, The service is approved to provide education and care to children after school only. This service is approved to provide education and care to children from over preschool age including school children.,90,2/11/09,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,,5 - 12 years,"""ASC: $16.50""",2:45 - 6:00pm,T,F,F,,,F,,,,,,,,,,,,,,,,,,
