ServiceApprovalNumber,Provider Approval Number,Type of Care,ServiceName,ProviderLegalName,ServiceAddress,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions on Approval,NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,Website,Age Range,Fees,Opening Hours,Food Provided,Disposable Nappies,Cloth Nappies,Air conditioning,Bus service,Online waitlist,Waitlist Fee,Waitlist refundable,Online enrollment,Secure Access,Additional Activities Included,Excursions,Guest Speakers,Outdoor Play Area,Amount of Land,Real Grass,Technology,Sibling Priority,Vacancies,Languages,Vaccinations Compulsory
SE-00001424,PR-00008029,Short Day Care,C&K Mooloolah Community Kindergarten,The Creche and Kindergarten Association Limited,King Road & Bray Road  ,MOOLOOLAH,QLD,4553,07 5494 7331,,mooloolah@candk.asn.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,25,4/12/14,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.candk.asn.au/mooloolah,"""ages 3.5 years to 5 years""","""3.5 years - 5 years: $28.08""",8.30am - 2.45pm,F,,,,,,,,,,,,,,,,,,,,
SE-00001235,PR-00000282,Outside Hours Care*,Kidz Bizz Glenview P&C,Glenview State School P & C Association ,Glenview State School  6 Leeding Road,GLENVIEW,QLD,4553,0439 817 861,54 39 67 00,kidz.biz@bigpond.com, This service is approved to provide education and care to children from over preschool age including school children.,30,9/19/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,https://glenviewss.eq.edu.au/Facilities/Outofschoolhourscare/Pages/Outofschoolhourscare.aspx,"""ages 5 years to 12 years""",,,T,,,,,,,,T,,,,,,,,,,,,
SE-00000639,PR-00001151,Long Day Care,Little Munchkins Early Learning Centre,Barkoff Pty Ltd ATF the Barker Family Trust,2 Mooloolah Road  ,MOOLOOLAH,QLD,4553,07 5494 7325,,little.munchkins@bigpond.com.au, This service is approved to provide education and care to children from children from 15 months up to and including over preschool age not including school children This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,44,8/11/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.littlemunchkinsearlylearning.com.au/,"""ages 15 months to 5 years""","""15 months - 24 months: $65.00, 25 months - 35 months: $64.00, 36 months - 5 years: $63.00""",7.15am - 6.15pm,,,,,,,,,,,,,,,,,,,,,
SE-00000982,PR-00000600,Out of Hours Care*,Mooloolah After School & Vacation Care Program,Mooloolah P & C Association ,Mooloolah State School  King Road,MOOLOOLAH,QLD,4553,07 5494 7491,07 5413 6300,admin@mooloolahoshc.com, This service is approved to provide education and care to children from over preschool age including school children.,44,12/20/13,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,https://mooloolahss.eq.edu.au/Facilities/Outofschoolhourscare/Pages/Outofschoolhourscare.aspx,"""ages 5 years to 12 years""","""BSC: 13.00, ASC: $18.00, VC: $42.00""","""BSC: 7.00am - 8.40am, ASC: 3.00pm - 6.00pm, VC: 7.00am - 6.00pm""",T,,,,,,,,,,,,,,,,,,,,
SE-00001794,PR-00000751,Out of Hours Care*,Eudlo State School Outside School Hours Care,Eudlo State School P&C Association,Eudlo State School  2 Highlands Road,EUDLO,QLD,4554,54788855,54 789 540,coordinator@eudlooshc.com.au, The maximum number of children able to be provided with education and care after school is 17 The maximum number of children able to be provided with education and care before school is 12 The maximum number of children able to be provided with education and care during school holidays is 17 An approved alternative solution relating to Performance Criteria P18  within SP5.4 – Child Care Centres of the Queensland Development Code with a publication date of 23 November 2005 applies to this service. This service is approved to provide education and care to children from over preschool age including school  children.,17,9/19/13,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://eudloss.eq.edu.au/files/info.html,"""ages 5 years to 12 years""",,"""BSC: 7.00am - 8.30am, ASC: 3.00pm - 6.00pm""",,,,,,,,,,,,,,,,,,,,,
SE-00000986,PR-00000326,Out of Hours Care*,Chevallum State School Wonderful Outside School Hours (Woosh) Care Service,Chevallum State School P & C Association ,Chevallum State School  460 Chevallum Road,CHEVALLUM,QLD,4555,07 5445 9564,544532300,woosh24@bigpond.com, - This service is approved to provide education and care to 60 children before school and after school. This service is approved to provide education and care to children from over preschool age including school children.,60,7/28/15,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,https://chevalluss.eq.edu.au/Facilities/Outofschoolhourscare/Pages/Outofschoolhourscare.aspx,"""ages 5 years to 12 years""",,"""BSC: 6.30am - 8.30am, AC: 2.45pm - 6.00pm, VC: 7.00am - 5.30pm""",,,,,,,,,,,,,,,,,,,,,
SE-00000984,PR-00000461,Out of Hours Care*,Palmwoods Kids Club,Palmwoods State School P&C Association,Palmwoods State School  111 Palmwoods-Montville Rd ,PALMWOODS,QLD,4555,07 5478 9499,07 5453 2400,kclub@westnet.com.au, The maximum number of children able to be provided with education and care after school is 75 The maximum number of children able to be provided with education and care before school is 29 The maximum number of children able to be provided with education and care during school holidays is 75 This service is approved to provide education and care to children from over preschool age including school age children.,75,11/9/13,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,https://palmwoodss.eq.edu.au/Facilities/Outofschoolhourscare/Pages/Outofschoolhourscare.aspx,"""ages 5 years to 12 years""",,"""BSC: 6.30am - 9.00am, ASC: 2.30pm - 6.00pm""",,,,,,,,,,,,,,,,,,,,,
SE-00001443,PR-00000277,Short Day Care,Palmwoods Kindergarten and Preschool,Palmwoods Community Kindergarten & Preschool Association Inc,28 Churchill Street  ,PALMWOODS,QLD,4555,07 5445 9027,,palmwoodskindy@aanet.com.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,25,12/2/15,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.candk.asn.au/palmwoods,"""ages 3.5 years to 4.5 years""","""3.5 years - 4.5 years: $25.00""",8.40am - 2.50pm,,,,,,,,,,,,,,,,,,,,,
SE-00000669,PR-00001155,Long Day Care,Sunkids Children's Centre  Palmwoods ,Mafeko Pty Ltd ATF the Cogut Family Trust ,13 Roberts St  ,PALMWOODS,QLD,4555,54789845,5478 9460,palmwoods@sunkids.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. An approved alternative solution relating to Performance Criteria P8 Nappy change facilities within SP5.4 – Child Care Centres of the Queensland Development Code (with a publication date of 1 November 2004) applies to this service. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,125,12/11/14,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://palmwoodschildcare.com.au/,"""ages 6 weeks to 5 years""","""6 weeks - 12 months: $78.00, 13 months - 5 years: $72.00""",6.00am - 6.00pm,,,,,,,,,,,,,,,,,,,,,
SE-00001671,PR-00000319,Long Day Care,Bella Grace Early Learning Centre Chancellor Park ,Bella Grace Chancellor Park Pty Ltd,40 Lakehead Drive  ,SIPPY DOWNS,QLD,4556,5476 9777,54769488,steph@bellagrace.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,147,4/13/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.bellagrace.com.au/,"""ages 6 weeks to 5 years""","""6 weeks - 12 months: $78.00, 13 months - 24 months: $81.00, 36 months - 5 years: $78.00""",6.30am - 6.00pm,,,,,,,,,,,,,,,,,,,,,
SE-00001291,PR-00000577,Short Day Care,Buderim Kindergarten and Pre School,Buderim Kindergarten and Pre School Association Inc,38 Townsend Road  ,BUDERIM,QLD,4556,07 5445 1952,,buderimkindy@optusnet.com.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,25,4/30/14,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,http://www.buderimkindy.com.au/,"""ages 3.5 years to 4.5 years""","""3.5 years - 4.5 years: $720 pr term*""",8.30am - 2.30pm,,,,,,,,,T,,,,,,,,,,,,
SE-00000699,PR-00000212,Long Day Care,Buderim Meadows Early Learning Centre,T&A Pilbeam & L&C Young,65 Cranfield Drive  ,BUDERIM,QLD,4556,07 5445 6494,5445 2634,bmelc@bigpond.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,1/4/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,"""ages 6 weeks to 5 years""",,7.15am - 6.00pm,,,,,,,,,,,,,,,,,,,,,
SE-00000717,PR-00000854,Long Day Care,Chancellor Park World Of Learning,Ramsay Bourne Acquisitions (No. 2) Pty Limited,11 Scholars Way  ,SIPPY DOWNS,QLD,4556,07 5476 9877,5476 9844,chancellorpark@worldoflearning.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,74,10/1/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.worldoflearning.com.au/centres/childcare-sippy-downs/,"""ages 6 weeks to 6 years""","""6 weeks - 12 months: $80.00, 13 months - 24 months: $78.00, 25 months - 35 months: $76.00, 36 months - 6 years: $75.00""",,,,,,,,,,T,,,,,,,,,,,,
SE-00001769,PR-00000673,Short Day Care,Flinders Early Learning Centre,Matthew Flinders Anglican College Ltd,144 Ballinger Road  ,BUDERIM,QLD,4556,5477 2999,07 5477 2929,earlylearning@mfac.edu.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,75,11/2/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,https://www.mfac.edu.au/learning-life/academic/early-learning,"""ages 36 months to 6 years""","""36 months - 6 years: $90.00 - $95.00""",8.45am - 3.15pm,,,,,,,,,,,,,,,,,,,,,
SE-00000534,PR-00001129,Long Day Care,Goodstart Early Learning Buderim,Goodstart Early Learning Ltd,131 King Street  ,BUDERIM,QLD,4556,07 5476 9266,,bdm@goodstart.org.au, This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,74,12/1/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.goodstart.org.au/centres/buderim/overview,"""ages 6 weeks to 6 years""","""6 weeks - 24 months: $79.40, 25 months - 6 years: $73.30""",6.30am - 6.30pm,T,T,,,T,,,,,,,,,,,,,,,,
SE-00000430,PR-00000204,Long Day Care,Gumnuts Child Care,Palmaura Pty Ltd,58-60 Buderim Pines Drive  ,BUDERIM,QLD,4556,07 5476 9022,,gumnutschildcare@bigpond.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 1:00pm to 3:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,68,11/15/15,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,http://www.gumnutschildcare.com.au/,"""ages 6 weeks to 5 years""","""6 weeks - 35 months: $74.00, 36 months - 5 years: $69.50""",6.30am - 6.30pm,,,,,,,,,,,,,,,,,,,,,
SE-00000687,PR-00000854,Long Day Care,Headland Park World Of Learning,Ramsay Bourne Acquisitions (No. 2) Pty Limited,37 Glen Kyle Drive  ,BUDERIM,QLD,4556,07 5479 6222,5479 6228,headlandpark@worldoflearning.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,74,10/1/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.worldoflearning.com.au/centres/childcare-buderim/,"""ages 6 weeks to 6 years""","""6 weeks - 12 months: $81.00, 13 months - 24 months: $80.00, 25 months - 35 months: $77.00, 36 months - 6 years: $76.00""",6.30am - 6.30pm,,,,,,,,,,,,,,,,,,,,,
SE-00001022,PR-00006559,Out of Hours Care,Helping Hands Buderim Mountain,Helping Hands Network Foundation Ltd,Buderim State School  Main Street,BUDERIM,QLD,4556,0427 370 354,54453600,buderimmountain@helpinghandsnetwork.com.au, This service is approved to provide education and care to children from over preschool age including school  children.,82,2/24/13,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.helpinghandsnetwork.com.au/Home.htm,"""ages 5 years to 12 years""",,,,,,,,,,,,,,,,,,,,,,,
SE-00001177,PR-00001030,Out of Hours Care,Helping Hands Chancellor,Helping Hands Network Pty Ltd,C/- Chancellor State School  Scholars Way,SIPPY DOWNS,QLD,4556,459991384,07 5445 4320,chancellor@helpinghandsnetwork.com.au, The maximum number of children able to be provided with education and care after school is 110  The maximum number of children able to be provided with education and care before school is 60  The maximum number of children able to be provided with education and care during school holidays is 110  This service is approved to provide education and care to children from over preschool age including school  children.,110,10/4/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.helpinghandsnetwork.com.au/Home.htm,"""ages 5 years to 12 years""",,,,,,,,,,,,,,,,,,,,,,,
SE-40000763,PR-00001090,Out of Hours Care*,Heroz Holiday Program,Calvary Temple Assembly of God (Townsville),212 Crosby Hill Rd  ,TANAWHA,QLD,4556,754339000,,steven.strudwick@calvarycc.org.au, This service is approved to provide education and care to children from over preschool age including school  children. This service is approved to provide education and care to children during school holidays only.,70,12/13/16,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,"""ages 5 years to 12 years""","""VC: $ 40.00""",7.30am - 6.00pm,,,,,,,,,,,,,,,,,,,,,
SE-00001090,PR-00000697,Out of Hours Care*,Immanuel Lutheran College After School & Vacation Care,Lutheran Church of Australia Queensland District,126-142 Wises Road  ,BUDERIM,QLD,4556,07 5477 3418,07 5477 3482,oshc@immanuel.qld.edu.au, This service may provide education and care after school and during school holidays only. The maximum number of children able to be provided with education and care after school is 45 The maximum number of children able to be provided with education and care during school holidays is 75 This service is approved to provide education and care to children from over preschool age including school age children.,75,11/14/13,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.immanuel.qld.edu.au/our-college/outside-school-hours-care,"""ages 5 years to 12 years""","""ASC: $20.00, VC: $46.00""","""ASC: 3.00pm - 6.00pm - VC: 8.00am - 6.00pm""",T,,,,,,,,,,,,,,,,,,,,
SE-00001157,PR-00000673,Out of Hours Care*,Matthew Flinders Anglican College Outside School Hours Care,Matthew Flinders Anglican College Ltd,Stringybark Road  ,BUDERIM,QLD,4556,07 5477 3257,54772929,asc@mfac.edu.au, This service may provide education and care after school and during school holidays only. The maximum number of children able to be provided with education and care after school is 45. The maximum number of children able to be provided with education and care during school holidays is 45 ,45,3/18/13,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.mfac.edu.au/community/outside-school-hours-care,"""ages 5 years to 12 years""","""ASC: $18.40, VC: $43.25""","""ASC: 3.00pm - 6.00pm - VC: 8.00am - 6.00pm""",T,,,,,,,,,,,,,,,,,,,,
SE-00000199,PR-00001165,Long Day Care,Milford Lodge Child Care Centre,Jumofini Pty Ltd ,28 Gloucester Road  ,BUDERIM,QLD,4556,07 5445 6228,54456228,milfordlodge@bigpond.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,5/25/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,"""ages 6 weeks to 5 years""","""6 weeks - 24 months: $87.00, 25 months - 35 months: $83.00""",7.30am - 5.30pm,,,,,,,,,,,,,,,,,,,,,
SE-00002374,PR-00001205,Short Day Care,Montessori International College Ltd,Montessori International College Limited,189 Stringybark Road   ,BUDERIM,QLD,4556,07 5445 2249,07 5445 3483,chiray@montessori.qld.edu.au, At all times when child care is provided under the licence the total number of children at the premises does not exceed 48 including the children being educated and cared for under this service approval and any other children using the premise. An approved alternative solution relating to Performance Criteria P4 P6 P7 P8 P11 P12 P13 P14 within - SP5.4 childcare centres of the QLD development code with a publication date of 16 November 2007 applies to this service. At all times that education and care is being provided under this service approval there must not be less than 3.25m2 of indoor play space and 7m2 of outdoor play space per child attending the premise with the total number of children at the premise not to exceed 48  including the children being educated and cared for under this service approval and any other children using the premise. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,22,11/10/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.montessori.qld.edu.au/,"""ages 3.5 years to 5 years""",,,,,,,,,,,,,,,,,,,,,,,
SE-00001932,PR-00000859,Long Day Care,New Leaf Early Learning Centre,Grammar Early Learning Limited ,372 Mons Road   ,FOREST GLEN,QLD,4556,5453 7077,54537295,newleaf@scgs.qld.edu.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 2:45pm to 4:45pm when it is 160 children This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,149,7/4/13,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.scgs.qld.edu.au/new_leaf/,"""ages 6 weeks to 5 years""","""6 weeks - 35 months: $76.00, 36 months - 5 years: $72.00""",7.00am - 6.00pm,,,,,,,,,,,,,,,,,,,,,
